INFO 2025-08-17 21:02:17,690 autoreload 11 139788082453376 Watching for file changes with StatReloader
INFO 2025-08-17 21:03:24,653 autoreload 11 139788082453376 /app/api/delivery/__init__.py changed, reloading.
INFO 2025-08-17 21:03:27,012 autoreload 13 140137615907712 Watching for file changes with StatReloader
INFO 2025-08-17 21:09:22,889 autoreload 13 140137615907712 /app/api/chat/models.py changed, reloading.
INFO 2025-08-17 21:09:25,146 autoreload 15 140203227908992 Watching for file changes with StatReloader
INFO 2025-08-17 21:18:12,673 autoreload 15 140203227908992 /app/api/pharmacies/models.py changed, reloading.
INFO 2025-08-17 21:18:15,191 autoreload 17 140275794832256 Watching for file changes with StatReloader
INFO 2025-08-17 21:29:00,423 autoreload 17 140275794832256 /app/api/inventory/__init__.py changed, reloading.
INFO 2025-08-17 21:29:02,913 autoreload 19 139760347736960 Watching for file changes with StatReloader
INFO 2025-08-17 22:16:47,309 autoreload 7 139986557373312 Watching for file changes with StatReloader
INFO 2025-08-17 22:23:49,705 autoreload 8 140488318483328 Watching for file changes with StatReloader
WARNING 2025-08-17 22:24:26,350 log 8 140488241833664 Not Found: /
WARNING 2025-08-17 22:24:26,355 basehttp 8 140488241833664 "GET / HTTP/1.1" 404 179
WARNING 2025-08-17 22:24:26,614 log 8 140488241833664 Not Found: /favicon.ico
WARNING 2025-08-17 22:24:26,616 basehttp 8 140488241833664 "GET /favicon.ico HTTP/1.1" 404 179
INFO 2025-08-17 22:24:31,975 basehttp 8 140488241833664 "GET /admin HTTP/1.1" 301 0
INFO 2025-08-17 22:24:32,006 basehttp 8 140488233440960 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-08-17 22:24:32,100 basehttp 8 140488233440960 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4177
WARNING 2025-08-17 22:24:32,161 log 8 140488233440960 Not Found: /static/admin/css/base.css
WARNING 2025-08-17 22:24:32,163 basehttp 8 140488233440960 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:24:32,176 log 8 140488241833664 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-08-17 22:24:32,180 log 8 140488223999680 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-08-17 22:24:32,187 log 8 140488233440960 Not Found: /static/admin/css/login.css
WARNING 2025-08-17 22:24:32,190 log 8 140488215606976 Not Found: /static/admin/js/theme.js
WARNING 2025-08-17 22:24:32,191 basehttp 8 140488241833664 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:24:32,196 basehttp 8 140488223999680 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:24:32,196 basehttp 8 140488233440960 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:24:32,198 basehttp 8 140488215606976 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:24:32,207 log 8 140488207214272 Not Found: /static/admin/css/responsive.css
WARNING 2025-08-17 22:24:32,208 basehttp 8 140488207214272 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:24:32,233 log 8 140488207214272 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-08-17 22:24:32,235 log 8 140488215606976 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-08-17 22:24:32,236 log 8 140488223999680 Not Found: /static/admin/css/responsive.css
WARNING 2025-08-17 22:24:32,237 basehttp 8 140488207214272 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:24:32,239 basehttp 8 140488215606976 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:24:32,240 basehttp 8 140488223999680 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2025-08-17 22:24:49,597 basehttp 8 140488207214272 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4353
WARNING 2025-08-17 22:24:49,629 log 8 140488207214272 Not Found: /static/admin/css/base.css
WARNING 2025-08-17 22:24:49,631 log 8 140488233440960 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-08-17 22:24:49,633 log 8 140488223999680 Not Found: /static/admin/js/theme.js
WARNING 2025-08-17 22:24:49,634 log 8 140488215606976 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-08-17 22:24:49,635 log 8 140488241833664 Not Found: /static/admin/css/login.css
WARNING 2025-08-17 22:24:49,636 basehttp 8 140488207214272 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:24:49,637 basehttp 8 140488233440960 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:24:49,638 basehttp 8 140488223999680 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:24:49,641 log 8 140488198821568 Not Found: /static/admin/css/responsive.css
